"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","MIROC-ESM","winter","gbm"
100,"SST","LMS","MIROC-ESM","winter","gbm"
22.5704611623351,"SSTg","LMS","MIROC-ESM","winter","gbm"
28.3847771192661,"WIN","LMS","MIROC-ESM","winter","gbm"
53.9534223295278,"WINu","LMS","MIROC-ESM","winter","gbm"
50.5772221154765,"WINv","LMS","MIROC-ESM","winter","gbm"
25.0695188871095,"CUR","LMS","MIROC-ESM","winter","gbm"
12.9023637853062,"CURu","LMS","MIROC-ESM","winter","gbm"
24.7801182680263,"CURv","LMS","MIROC-ESM","winter","gbm"
59.786900764096,"SSH","LMS","MIROC-ESM","winter","gbm"
23.694408345972,"SSHg","LMS","MIROC-ESM","winter","gbm"
19.4452534822907,"DEP","LMS","MIROC-ESM","winter","gbm"
