"Overall","variable","sp","climate","season","method"
0,"ICE","LMS","MIROC-ESM","winter","rf"
100,"SST","LMS","MIROC-ESM","winter","rf"
42.081208889272,"SSTg","LMS","MIROC-ESM","winter","rf"
76.6388435904201,"WINu","LMS","MIROC-ESM","winter","rf"
60.5608668821125,"WINv","LMS","MIROC-ESM","winter","rf"
50.2927370451467,"CURu","LMS","MIROC-ESM","winter","rf"
37.9015143277482,"CURv","LMS","MIROC-ESM","winter","rf"
83.772917752504,"SSH","LMS","MIROC-ESM","winter","rf"
39.273434993484,"SSHg","LMS","MIROC-ESM","winter","rf"
43.4835905439285,"DEP","LMS","MIROC-ESM","winter","rf"
