"Obs","Sim","variable","sp","season","climate","method"
50.0902145534127,50.0902145534127,"ICE","LMS","winter","NorESM1-M","svm"
27.6695591545808,27.6695591545808,"SST","LMS","winter","NorESM1-M","svm"
100,100,"WINu","LMS","winter","NorESM1-M","svm"
1.58421657325571,1.58421657325571,"WINv","LMS","winter","NorESM1-M","svm"
73.4650157692744,73.4650157692744,"WIN","LMS","winter","NorESM1-M","svm"
94.9526203502731,94.9526203502731,"CURu","LMS","winter","NorESM1-M","svm"
98.5812092590534,98.5812092590534,"CURv","LMS","winter","NorESM1-M","svm"
95.8477420383162,95.8477420383162,"CUR","LMS","winter","NorESM1-M","svm"
12.032725419936,12.032725419936,"SSH","LMS","winter","NorESM1-M","svm"
83.2950643206179,83.2950643206179,"SSHg","LMS","winter","NorESM1-M","svm"
92.9814813554875,92.9814813554875,"SSTg","LMS","winter","NorESM1-M","svm"
0,0,"DEP","LMS","winter","NorESM1-M","svm"
