"Overall","variable","sp","season","climate","method"
5.68241370182857,"ICE","MAC","summer","ACCESS1-0","ann"
77.0376731489292,"SST","MAC","summer","ACCESS1-0","ann"
18.371593508185,"WINu","MAC","summer","ACCESS1-0","ann"
43.7069253783991,"WINv","MAC","summer","ACCESS1-0","ann"
15.108655349399,"WIN","MAC","summer","ACCESS1-0","ann"
0,"CURu","MAC","summer","ACCESS1-0","ann"
1.31757454013735,"CURv","MAC","summer","ACCESS1-0","ann"
23.6771239268975,"CUR","MAC","summer","ACCESS1-0","ann"
3.92015514006843,"SSH","MAC","summer","ACCESS1-0","ann"
9.55480517205077,"SSHg","MAC","summer","ACCESS1-0","ann"
6.25463208096965,"SSTg","MAC","summer","ACCESS1-0","ann"
100,"DEP","MAC","summer","ACCESS1-0","ann"
