"Overall","variable","sp","season","climate","method"
0,"ICE","MAC","summer","BCC-CSM1.1","gbm"
7.42867613191493,"SST","MAC","summer","BCC-CSM1.1","gbm"
3.86158073690068,"WINu","MAC","summer","BCC-CSM1.1","gbm"
4.15165348530853,"WINv","MAC","summer","BCC-CSM1.1","gbm"
5.51838737756685,"WIN","MAC","summer","BCC-CSM1.1","gbm"
8.81654613298153,"CURu","MAC","summer","BCC-CSM1.1","gbm"
14.4299264228981,"CURv","MAC","summer","BCC-CSM1.1","gbm"
7.79699767009773,"CUR","MAC","summer","BCC-CSM1.1","gbm"
70.9833922550408,"SSH","MAC","summer","BCC-CSM1.1","gbm"
21.3291144882176,"SSHg","MAC","summer","BCC-CSM1.1","gbm"
9.08725109171016,"SSTg","MAC","summer","BCC-CSM1.1","gbm"
100,"DEP","MAC","summer","BCC-CSM1.1","gbm"
