"Overall","variable","sp","climate","season","method"
0,"ICE","MAC","BCC-CSM1.1","summer","rf"
18.06794997799,"SST","MAC","BCC-CSM1.1","summer","rf"
11.1212818150717,"SSTg","MAC","BCC-CSM1.1","summer","rf"
9.3847984119475,"WINu","MAC","BCC-CSM1.1","summer","rf"
6.3084044706402,"WINv","MAC","BCC-CSM1.1","summer","rf"
26.6599197423711,"CURu","MAC","BCC-CSM1.1","summer","rf"
27.9084042914341,"CURv","MAC","BCC-CSM1.1","summer","rf"
100,"SSH","MAC","BCC-CSM1.1","summer","rf"
40.6412898748297,"SSHg","MAC","BCC-CSM1.1","summer","rf"
79.1341851798079,"DEP","MAC","BCC-CSM1.1","summer","rf"
