"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","MAC","summer","BCC-CSM1.1","svm"
70.9480647177286,70.9480647177286,"SST","MAC","summer","BCC-CSM1.1","svm"
49.4926375967124,49.4926375967124,"WINu","MAC","summer","BCC-CSM1.1","svm"
1.28333401206629,1.28333401206629,"WINv","MAC","summer","BCC-CSM1.1","svm"
52.3080392953203,52.3080392953203,"WIN","MAC","summer","BCC-CSM1.1","svm"
61.7938100147589,61.7938100147589,"CURu","MAC","summer","BCC-CSM1.1","svm"
72.9350935958663,72.9350935958663,"CURv","MAC","summer","BCC-CSM1.1","svm"
41.0325338362617,41.0325338362617,"CUR","MAC","summer","BCC-CSM1.1","svm"
100,100,"SSH","MAC","summer","BCC-CSM1.1","svm"
68.54882448382,68.54882448382,"SSHg","MAC","summer","BCC-CSM1.1","svm"
60.2125174788723,60.2125174788723,"SSTg","MAC","summer","BCC-CSM1.1","svm"
61.4172737265343,61.4172737265343,"DEP","MAC","summer","BCC-CSM1.1","svm"
