"Overall","variable","sp","season","climate","method"
5.32263352739464,"ICE","MAC","summer","CMCC-CM","ann"
57.0470410134748,"SST","MAC","summer","CMCC-CM","ann"
69.7040513971252,"WINu","MAC","summer","CMCC-CM","ann"
7.44011246784118,"WINv","MAC","summer","CMCC-CM","ann"
68.8237695992172,"WIN","MAC","summer","CMCC-CM","ann"
43.0531882966371,"CURu","MAC","summer","CMCC-CM","ann"
7.21557411206455,"CURv","MAC","summer","CMCC-CM","ann"
38.6861875303348,"CUR","MAC","summer","CMCC-CM","ann"
5.8393582056912,"SSH","MAC","summer","CMCC-CM","ann"
0,"SSHg","MAC","summer","CMCC-CM","ann"
6.77849716970694,"SSTg","MAC","summer","CMCC-CM","ann"
100,"DEP","MAC","summer","CMCC-CM","ann"
