"Overall","variable","sp","season","climate","method"
4.48144565601162,"ICE","MAC","summer","CanESM2","ann"
82.4120516714326,"SST","MAC","summer","CanESM2","ann"
68.4898167939313,"WINu","MAC","summer","CanESM2","ann"
15.1356226443737,"WINv","MAC","summer","CanESM2","ann"
72.161731850627,"WIN","MAC","summer","CanESM2","ann"
1.79979579917295,"CURu","MAC","summer","CanESM2","ann"
6.53948292637649,"CURv","MAC","summer","CanESM2","ann"
1.42854866162498,"CUR","MAC","summer","CanESM2","ann"
3.50557602075004,"SSH","MAC","summer","CanESM2","ann"
3.67339934637693,"SSHg","MAC","summer","CanESM2","ann"
0,"SSTg","MAC","summer","CanESM2","ann"
100,"DEP","MAC","summer","CanESM2","ann"
