"Overall","variable","sp","season","climate","method"
NA,"WINu","MAC","summer","CanESM2","gam"
NA,"WINv","MAC","summer","CanESM2","gam"
NA,"WIN","MAC","summer","CanESM2","gam"
NA,"CURu","MAC","summer","CanESM2","gam"
NA,"CURv","MAC","summer","CanESM2","gam"
NA,"CUR","MAC","summer","CanESM2","gam"
NA,"SST","MAC","summer","CanESM2","gam"
NA,"SSH","MAC","summer","CanESM2","gam"
NA,"SSHg","MAC","summer","CanESM2","gam"
NA,"SSTg","MAC","summer","CanESM2","gam"
NA,"DEP","MAC","summer","CanESM2","gam"
