"Overall","variable","sp","climate","season","method"
0,"ICE","MAC","CanESM2","summer","rf"
37.2839871644283,"SST","MAC","CanESM2","summer","rf"
84.5761043750063,"SSTg","MAC","CanESM2","summer","rf"
15.2333604471896,"WINu","MAC","CanESM2","summer","rf"
20.630850568778,"WINv","MAC","CanESM2","summer","rf"
54.9359518626066,"CURu","MAC","CanESM2","summer","rf"
36.8430445291135,"CURv","MAC","CanESM2","summer","rf"
100,"SSH","MAC","CanESM2","summer","rf"
39.3980562224173,"SSHg","MAC","CanESM2","summer","rf"
79.3763748767338,"DEP","MAC","CanESM2","summer","rf"
