"Overall","variable","sp","season","climate","method"
3.72300807052992,"ICE","MAC","summer","MIROC-ESM","ann"
68.5722820836222,"SST","MAC","summer","MIROC-ESM","ann"
74.6543340285581,"WINu","MAC","summer","MIROC-ESM","ann"
42.3729093910222,"WINv","MAC","summer","MIROC-ESM","ann"
75.8236250692549,"WIN","MAC","summer","MIROC-ESM","ann"
9.92756532579781,"CURu","MAC","summer","MIROC-ESM","ann"
5.93180483926589,"CURv","MAC","summer","MIROC-ESM","ann"
4.66049377465089,"CUR","MAC","summer","MIROC-ESM","ann"
11.0309231690437,"SSH","MAC","summer","MIROC-ESM","ann"
0,"SSHg","MAC","summer","MIROC-ESM","ann"
1.68421421514186,"SSTg","MAC","summer","MIROC-ESM","ann"
100,"DEP","MAC","summer","MIROC-ESM","ann"
