"Overall","variable","sp","season","climate","method"
NA,"WINu","MAC","winter","ACCESS1-0","gam"
NA,"WINv","MAC","winter","ACCESS1-0","gam"
NA,"WIN","MAC","winter","ACCESS1-0","gam"
NA,"CURv","MAC","winter","ACCESS1-0","gam"
NA,"CURu","MAC","winter","ACCESS1-0","gam"
NA,"CUR","MAC","winter","ACCESS1-0","gam"
NA,"SSHg","MAC","winter","ACCESS1-0","gam"
NA,"SST","MAC","winter","ACCESS1-0","gam"
NA,"SSH","MAC","winter","ACCESS1-0","gam"
NA,"SSTg","MAC","winter","ACCESS1-0","gam"
NA,"DEP","MAC","winter","ACCESS1-0","gam"
