"Overall","variable","sp","season","climate","method"
NA,"WINu","MAC","winter","BCC-CSM1.1","gam"
NA,"WINv","MAC","winter","BCC-CSM1.1","gam"
NA,"WIN","MAC","winter","BCC-CSM1.1","gam"
NA,"SST","MAC","winter","BCC-CSM1.1","gam"
NA,"SSH","MAC","winter","BCC-CSM1.1","gam"
NA,"SSHg","MAC","winter","BCC-CSM1.1","gam"
NA,"SSTg","MAC","winter","BCC-CSM1.1","gam"
NA,"CURu","MAC","winter","BCC-CSM1.1","gam"
NA,"CURv","MAC","winter","BCC-CSM1.1","gam"
NA,"CUR","MAC","winter","BCC-CSM1.1","gam"
NA,"DEP","MAC","winter","BCC-CSM1.1","gam"
