"Overall","variable","sp","climate","season","method"
0,"ICE","MAC","BCC-CSM1.1","winter","rf"
67.008050813685,"SST","MAC","BCC-CSM1.1","winter","rf"
28.4446053903731,"SSTg","MAC","BCC-CSM1.1","winter","rf"
53.1156301972351,"WINu","MAC","BCC-CSM1.1","winter","rf"
32.1280760574847,"WINv","MAC","BCC-CSM1.1","winter","rf"
32.5947617240905,"CURu","MAC","BCC-CSM1.1","winter","rf"
54.6347912581538,"CURv","MAC","BCC-CSM1.1","winter","rf"
100,"SSH","MAC","BCC-CSM1.1","winter","rf"
50.4382184071,"SSHg","MAC","BCC-CSM1.1","winter","rf"
27.8195201407177,"DEP","MAC","BCC-CSM1.1","winter","rf"
