"Overall","variable","sp","season","climate","method"
11.300392123003,"ICE","MAC","winter","CMCC-CM","ann"
55.9919362194514,"SST","MAC","winter","CMCC-CM","ann"
67.1805231948642,"WINu","MAC","winter","CMCC-CM","ann"
4.87752535963385,"WINv","MAC","winter","CMCC-CM","ann"
62.1666779970498,"WIN","MAC","winter","CMCC-CM","ann"
45.6931968434499,"CURu","MAC","winter","CMCC-CM","ann"
18.9072395914505,"CURv","MAC","winter","CMCC-CM","ann"
33.1169530098916,"CUR","MAC","winter","CMCC-CM","ann"
11.7787097433631,"SSH","MAC","winter","CMCC-CM","ann"
3.42053487742835,"SSHg","MAC","winter","CMCC-CM","ann"
0,"SSTg","MAC","winter","CMCC-CM","ann"
100,"DEP","MAC","winter","CMCC-CM","ann"
