"Overall","variable","sp","season","climate","method"
NA,"WINu","MAC","winter","MIROC-ESM","gam"
NA,"WINv","MAC","winter","MIROC-ESM","gam"
NA,"WIN","MAC","winter","MIROC-ESM","gam"
NA,"CURu","MAC","winter","MIROC-ESM","gam"
NA,"CURv","MAC","winter","MIROC-ESM","gam"
NA,"CUR","MAC","winter","MIROC-ESM","gam"
NA,"SST","MAC","winter","MIROC-ESM","gam"
NA,"SSH","MAC","winter","MIROC-ESM","gam"
NA,"SSHg","MAC","winter","MIROC-ESM","gam"
NA,"SSTg","MAC","winter","MIROC-ESM","gam"
NA,"DEP","MAC","winter","MIROC-ESM","gam"
