"Overall","variable","sp","climate","season","method"
0,"ICE","MAC","MIROC-ESM","winter","gbm"
12.9146772056691,"SST","MAC","MIROC-ESM","winter","gbm"
15.2925843816682,"SSTg","MAC","MIROC-ESM","winter","gbm"
8.57523413737695,"WIN","MAC","MIROC-ESM","winter","gbm"
10.8141603824507,"WINu","MAC","MIROC-ESM","winter","gbm"
32.3812404759446,"WINv","MAC","MIROC-ESM","winter","gbm"
7.03035515479053,"CUR","MAC","MIROC-ESM","winter","gbm"
5.72363782575729,"CURu","MAC","MIROC-ESM","winter","gbm"
23.6887337558584,"CURv","MAC","MIROC-ESM","winter","gbm"
88.4548853675491,"SSH","MAC","MIROC-ESM","winter","gbm"
12.256508924328,"SSHg","MAC","MIROC-ESM","winter","gbm"
100,"DEP","MAC","MIROC-ESM","winter","gbm"
