"Overall","variable","sp","season","climate","method"
8.29859839949416,"ICE","MAC","winter","NorESM1-M","ann"
45.6276504078966,"SST","MAC","winter","NorESM1-M","ann"
55.687279036173,"WINu","MAC","winter","NorESM1-M","ann"
13.7181817368947,"WINv","MAC","winter","NorESM1-M","ann"
64.4955426910852,"WIN","MAC","winter","NorESM1-M","ann"
81.3549931132573,"CURu","MAC","winter","NorESM1-M","ann"
100,"CURv","MAC","winter","NorESM1-M","ann"
95.980509204771,"CUR","MAC","winter","NorESM1-M","ann"
94.512868244955,"SSH","MAC","winter","NorESM1-M","ann"
0,"SSHg","MAC","winter","NorESM1-M","ann"
18.2258034290793,"SSTg","MAC","winter","NorESM1-M","ann"
70.4064134913044,"DEP","MAC","winter","NorESM1-M","ann"
