"Overall","variable","sp","season","climate","method"
NA,"WINu","MAC","winter","NorESM1-M","gam"
NA,"WINv","MAC","winter","NorESM1-M","gam"
NA,"WIN","MAC","winter","NorESM1-M","gam"
NA,"CURv","MAC","winter","NorESM1-M","gam"
NA,"CURu","MAC","winter","NorESM1-M","gam"
NA,"SST","MAC","winter","NorESM1-M","gam"
NA,"SSH","MAC","winter","NorESM1-M","gam"
NA,"SSHg","MAC","winter","NorESM1-M","gam"
NA,"SSTg","MAC","winter","NorESM1-M","gam"
NA,"DEP","MAC","winter","NorESM1-M","gam"
NA,"CUR","MAC","winter","NorESM1-M","gam"
