"Overall","variable","sp","season","climate","method"
0,"ICE","NGP","winter","ACCESS1-0","ann"
79.1229876741339,"SST","NGP","winter","ACCESS1-0","ann"
89.2267397207457,"WINu","NGP","winter","ACCESS1-0","ann"
35.0286775840455,"WINv","NGP","winter","ACCESS1-0","ann"
77.8162525330273,"WIN","NGP","winter","ACCESS1-0","ann"
58.7962651465545,"CURu","NGP","winter","ACCESS1-0","ann"
63.7230434677846,"CURv","NGP","winter","ACCESS1-0","ann"
51.6361914867194,"CUR","NGP","winter","ACCESS1-0","ann"
46.8139496189151,"SSH","NGP","winter","ACCESS1-0","ann"
18.410056804962,"SSHg","NGP","winter","ACCESS1-0","ann"
5.71245997939878,"SSTg","NGP","winter","ACCESS1-0","ann"
100,"DEP","NGP","winter","ACCESS1-0","ann"
