"Overall","variable","sp","climate","season","method"
0,"ICE","NGP","ACCESS1-0","winter","gbm"
18.9899097203583,"SST","NGP","ACCESS1-0","winter","gbm"
12.921806836493,"SSTg","NGP","ACCESS1-0","winter","gbm"
12.9985734083018,"WIN","NGP","ACCESS1-0","winter","gbm"
6.78524260212028,"WINu","NGP","ACCESS1-0","winter","gbm"
21.0184414757875,"WINv","NGP","ACCESS1-0","winter","gbm"
12.137625039609,"CUR","NGP","ACCESS1-0","winter","gbm"
13.3117456736924,"CURu","NGP","ACCESS1-0","winter","gbm"
20.9458636385047,"CURv","NGP","ACCESS1-0","winter","gbm"
15.0837483974098,"SSH","NGP","ACCESS1-0","winter","gbm"
16.9940995538939,"SSHg","NGP","ACCESS1-0","winter","gbm"
100,"DEP","NGP","ACCESS1-0","winter","gbm"
