"Overall","variable","sp","climate","season","method"
0,"ICE","NGP","ACCESS1-0","winter","rf"
44.267540198274,"SST","NGP","ACCESS1-0","winter","rf"
28.6039310039176,"SSTg","NGP","ACCESS1-0","winter","rf"
38.1984715361728,"WINu","NGP","ACCESS1-0","winter","rf"
35.5009984225969,"WINv","NGP","ACCESS1-0","winter","rf"
36.54478752978,"CURu","NGP","ACCESS1-0","winter","rf"
30.8903222329768,"CURv","NGP","ACCESS1-0","winter","rf"
40.680261754463,"SSH","NGP","ACCESS1-0","winter","rf"
41.7439950669214,"SSHg","NGP","ACCESS1-0","winter","rf"
100,"DEP","NGP","ACCESS1-0","winter","rf"
