"Overall","variable","sp","climate","season","method"
0,"ICE","NGP","BCC-CSM1.1","winter","gbm"
23.1032679997288,"SST","NGP","BCC-CSM1.1","winter","gbm"
24.1404951801012,"SSTg","NGP","BCC-CSM1.1","winter","gbm"
15.2791085273098,"WIN","NGP","BCC-CSM1.1","winter","gbm"
15.4947346709478,"WINu","NGP","BCC-CSM1.1","winter","gbm"
26.5433372497687,"WINv","NGP","BCC-CSM1.1","winter","gbm"
23.0282376905978,"CUR","NGP","BCC-CSM1.1","winter","gbm"
15.3557267212455,"CURu","NGP","BCC-CSM1.1","winter","gbm"
27.8712187471816,"CURv","NGP","BCC-CSM1.1","winter","gbm"
21.6726780714993,"SSH","NGP","BCC-CSM1.1","winter","gbm"
20.5021585513966,"SSHg","NGP","BCC-CSM1.1","winter","gbm"
100,"DEP","NGP","BCC-CSM1.1","winter","gbm"
