"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","NGP","winter","BCC-CSM1.1","svm"
76.8991823417466,76.8991823417466,"SST","NGP","winter","BCC-CSM1.1","svm"
60.4101433893317,60.4101433893317,"WINu","NGP","winter","BCC-CSM1.1","svm"
10.147521431704,10.147521431704,"WINv","NGP","winter","BCC-CSM1.1","svm"
51.9986439916111,51.9986439916111,"WIN","NGP","winter","BCC-CSM1.1","svm"
85.3462505652057,85.3462505652057,"CURu","NGP","winter","BCC-CSM1.1","svm"
27.9047935030038,27.9047935030038,"CURv","NGP","winter","BCC-CSM1.1","svm"
100,100,"CUR","NGP","winter","BCC-CSM1.1","svm"
20.6430736902092,20.6430736902092,"SSH","NGP","winter","BCC-CSM1.1","svm"
89.5638808100907,89.5638808100907,"SSHg","NGP","winter","BCC-CSM1.1","svm"
12.9801821813168,12.9801821813168,"SSTg","NGP","winter","BCC-CSM1.1","svm"
93.8524909463929,93.8524909463929,"DEP","NGP","winter","BCC-CSM1.1","svm"
