"Overall","variable","sp","season","climate","method"
1.48450709995349,"ICE","NGP","winter","EC-EARTH","ann"
100,"SST","NGP","winter","EC-EARTH","ann"
79.1983943651481,"WINu","NGP","winter","EC-EARTH","ann"
39.7202853599691,"WINv","NGP","winter","EC-EARTH","ann"
94.0405525466269,"WIN","NGP","winter","EC-EARTH","ann"
40.9634505226279,"CURu","NGP","winter","EC-EARTH","ann"
15.0007220973857,"CURv","NGP","winter","EC-EARTH","ann"
12.4825011050048,"CUR","NGP","winter","EC-EARTH","ann"
82.2231470408355,"SSH","NGP","winter","EC-EARTH","ann"
0,"SSHg","NGP","winter","EC-EARTH","ann"
1.76354373336252,"SSTg","NGP","winter","EC-EARTH","ann"
14.6764610733247,"DEP","NGP","winter","EC-EARTH","ann"
