"Overall","variable","sp","season","climate","method"
0,"WINu","NGP","winter","MIROC-ESM","gam"
0,"WINv","NGP","winter","MIROC-ESM","gam"
0,"WIN","NGP","winter","MIROC-ESM","gam"
0,"CURu","NGP","winter","MIROC-ESM","gam"
NA,"CURv","NGP","winter","MIROC-ESM","gam"
0,"CUR","NGP","winter","MIROC-ESM","gam"
NA,"SST","NGP","winter","MIROC-ESM","gam"
NA,"SSH","NGP","winter","MIROC-ESM","gam"
0,"SSHg","NGP","winter","MIROC-ESM","gam"
0,"SSTg","NGP","winter","MIROC-ESM","gam"
NA,"DEP","NGP","winter","MIROC-ESM","gam"
