"Overall","variable","sp","season","climate","method"
13.0996626180898,"ICE","ORC","summer","BCC-CSM1.1","ann"
51.9872939760568,"SST","ORC","summer","BCC-CSM1.1","ann"
100,"WINu","ORC","summer","BCC-CSM1.1","ann"
81.5770913470067,"WINv","ORC","summer","BCC-CSM1.1","ann"
97.0339367186646,"WIN","ORC","summer","BCC-CSM1.1","ann"
1.0393505749289,"CURu","ORC","summer","BCC-CSM1.1","ann"
3.38032209203795,"CURv","ORC","summer","BCC-CSM1.1","ann"
16.6047126605194,"CUR","ORC","summer","BCC-CSM1.1","ann"
48.6182104534282,"SSH","ORC","summer","BCC-CSM1.1","ann"
12.6021245443005,"SSHg","ORC","summer","BCC-CSM1.1","ann"
0,"SSTg","ORC","summer","BCC-CSM1.1","ann"
40.3503009526883,"DEP","ORC","summer","BCC-CSM1.1","ann"
