"Overall","variable","sp","season","climate","method"
0,"WINu","ORC","summer","BCC-CSM1.1","gam"
0,"WINv","ORC","summer","BCC-CSM1.1","gam"
0,"WIN","ORC","summer","BCC-CSM1.1","gam"
NA,"CURu","ORC","summer","BCC-CSM1.1","gam"
NA,"CURv","ORC","summer","BCC-CSM1.1","gam"
0,"CUR","ORC","summer","BCC-CSM1.1","gam"
0,"SST","ORC","summer","BCC-CSM1.1","gam"
0,"SSH","ORC","summer","BCC-CSM1.1","gam"
0,"SSHg","ORC","summer","BCC-CSM1.1","gam"
0,"SSTg","ORC","summer","BCC-CSM1.1","gam"
NA,"DEP","ORC","summer","BCC-CSM1.1","gam"
