"Overall","variable","sp","climate","season","method"
0,"ICE","ORC","BCC-CSM1.1","summer","rf"
30.298534457211,"SST","ORC","BCC-CSM1.1","summer","rf"
12.8348687068035,"SSTg","ORC","BCC-CSM1.1","summer","rf"
19.9555086233799,"WINu","ORC","BCC-CSM1.1","summer","rf"
12.1208736441938,"WINv","ORC","BCC-CSM1.1","summer","rf"
22.9749778607185,"CURu","ORC","BCC-CSM1.1","summer","rf"
39.577280278487,"CURv","ORC","BCC-CSM1.1","summer","rf"
50.0858546780009,"SSH","ORC","BCC-CSM1.1","summer","rf"
21.4004307662356,"SSHg","ORC","BCC-CSM1.1","summer","rf"
100,"DEP","ORC","BCC-CSM1.1","summer","rf"
