"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","ORC","summer","CMCC-CM","svm"
28.5044249222819,28.5044249222819,"SST","ORC","summer","CMCC-CM","svm"
16.820733061274,16.820733061274,"WINu","ORC","summer","CMCC-CM","svm"
10.5181514307023,10.5181514307023,"WINv","ORC","summer","CMCC-CM","svm"
21.1603209946469,21.1603209946469,"WIN","ORC","summer","CMCC-CM","svm"
23.9648663102744,23.9648663102744,"CURu","ORC","summer","CMCC-CM","svm"
1.26761599917916,1.26761599917916,"CURv","ORC","summer","CMCC-CM","svm"
24.3973855266561,24.3973855266561,"CUR","ORC","summer","CMCC-CM","svm"
36.093334467937,36.093334467937,"SSH","ORC","summer","CMCC-CM","svm"
15.3209368182726,15.3209368182726,"SSHg","ORC","summer","CMCC-CM","svm"
26.2457622776433,26.2457622776433,"SSTg","ORC","summer","CMCC-CM","svm"
100,100,"DEP","ORC","summer","CMCC-CM","svm"
