"Overall","variable","sp","climate","season","method"
0,"ICE","ORC","EC-EARTH","summer","rf"
27.0005476703306,"SST","ORC","EC-EARTH","summer","rf"
13.3626443715021,"SSTg","ORC","EC-EARTH","summer","rf"
23.1544594902484,"WINu","ORC","EC-EARTH","summer","rf"
13.9592437846458,"WINv","ORC","EC-EARTH","summer","rf"
20.3262741761551,"CURu","ORC","EC-EARTH","summer","rf"
38.0919908863182,"CURv","ORC","EC-EARTH","summer","rf"
63.4688383334449,"SSH","ORC","EC-EARTH","summer","rf"
32.2491950750233,"SSHg","ORC","EC-EARTH","summer","rf"
100,"DEP","ORC","EC-EARTH","summer","rf"
