"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","ORC","summer","EC-EARTH","svm"
38.657571797216,38.657571797216,"SST","ORC","summer","EC-EARTH","svm"
29.2805269111846,29.2805269111846,"WINu","ORC","summer","EC-EARTH","svm"
16.7292893167727,16.7292893167727,"WINv","ORC","summer","EC-EARTH","svm"
30.9803995776733,30.9803995776733,"WIN","ORC","summer","EC-EARTH","svm"
30.0763678148211,30.0763678148211,"CURu","ORC","summer","EC-EARTH","svm"
9.62214704088443,9.62214704088443,"CURv","ORC","summer","EC-EARTH","svm"
35.6916878264875,35.6916878264875,"CUR","ORC","summer","EC-EARTH","svm"
52.9676212761923,52.9676212761923,"SSH","ORC","summer","EC-EARTH","svm"
26.6679553296786,26.6679553296786,"SSHg","ORC","summer","EC-EARTH","svm"
14.5339293819558,14.5339293819558,"SSTg","ORC","summer","EC-EARTH","svm"
100,100,"DEP","ORC","summer","EC-EARTH","svm"
