"Obs","Sim","variable","sp","season","climate","method"
0.136952413186399,0.136952413186399,"ICE","ORC","summer","GISS-E2-H-CC","svm"
31.9620437126421,31.9620437126421,"SST","ORC","summer","GISS-E2-H-CC","svm"
18.7667759116704,18.7667759116704,"WINu","ORC","summer","GISS-E2-H-CC","svm"
3.74203107863184,3.74203107863184,"WINv","ORC","summer","GISS-E2-H-CC","svm"
19.5509113151901,19.5509113151901,"WIN","ORC","summer","GISS-E2-H-CC","svm"
75.5470216418788,75.5470216418788,"CURu","ORC","summer","GISS-E2-H-CC","svm"
4.0112401353312,4.0112401353312,"CURv","ORC","summer","GISS-E2-H-CC","svm"
46.4757118257178,46.4757118257178,"CUR","ORC","summer","GISS-E2-H-CC","svm"
0,0,"SSTg","ORC","summer","GISS-E2-H-CC","svm"
100,100,"DEP","ORC","summer","GISS-E2-H-CC","svm"
