"Overall","variable","sp","climate","season","method"
0,"ICE","ORC","MIROC-ESM","summer","gbm"
50.1632118822219,"SST","ORC","MIROC-ESM","summer","gbm"
5.38884517012306,"SSTg","ORC","MIROC-ESM","summer","gbm"
2.36949478404289,"WIN","ORC","MIROC-ESM","summer","gbm"
3.02889252340183,"WINu","ORC","MIROC-ESM","summer","gbm"
5.31855962357146,"WINv","ORC","MIROC-ESM","summer","gbm"
4.13235745034472,"CUR","ORC","MIROC-ESM","summer","gbm"
3.96939198592061,"CURu","ORC","MIROC-ESM","summer","gbm"
11.0869729960175,"CURv","ORC","MIROC-ESM","summer","gbm"
11.0750255207509,"SSH","ORC","MIROC-ESM","summer","gbm"
4.97183698907786,"SSHg","ORC","MIROC-ESM","summer","gbm"
100,"DEP","ORC","MIROC-ESM","summer","gbm"
