"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","ORC","summer","MIROC-ESM","svm"
35.3842479285497,35.3842479285497,"SST","ORC","summer","MIROC-ESM","svm"
15.3069825898511,15.3069825898511,"WINu","ORC","summer","MIROC-ESM","svm"
5.47451806206793,5.47451806206793,"WINv","ORC","summer","MIROC-ESM","svm"
12.4916431194947,12.4916431194947,"WIN","ORC","summer","MIROC-ESM","svm"
41.797339503813,41.797339503813,"CURu","ORC","summer","MIROC-ESM","svm"
38.9582833179969,38.9582833179969,"CURv","ORC","summer","MIROC-ESM","svm"
38.8960204811148,38.8960204811148,"CUR","ORC","summer","MIROC-ESM","svm"
52.2343283825982,52.2343283825982,"SSH","ORC","summer","MIROC-ESM","svm"
10.7230620708167,10.7230620708167,"SSHg","ORC","summer","MIROC-ESM","svm"
5.70014334015966,5.70014334015966,"SSTg","ORC","summer","MIROC-ESM","svm"
100,100,"DEP","ORC","summer","MIROC-ESM","svm"
