"Overall","variable","sp","season","climate","method"
2.88047900331108,"ICE","ORC","summer","NorESM1-M","ann"
29.7159942334041,"SST","ORC","summer","NorESM1-M","ann"
47.6668247560621,"WINu","ORC","summer","NorESM1-M","ann"
20.3654596833223,"WINv","ORC","summer","NorESM1-M","ann"
28.6144229812196,"WIN","ORC","summer","NorESM1-M","ann"
41.5096240527863,"CURu","ORC","summer","NorESM1-M","ann"
35.4915506670422,"CURv","ORC","summer","NorESM1-M","ann"
45.7991184258043,"CUR","ORC","summer","NorESM1-M","ann"
15.2418435422268,"SSH","ORC","summer","NorESM1-M","ann"
0,"SSHg","ORC","summer","NorESM1-M","ann"
11.5619521258319,"SSTg","ORC","summer","NorESM1-M","ann"
100,"DEP","ORC","summer","NorESM1-M","ann"
