"Overall","variable","sp","season","climate","method"
NA,"WINu","ORC","summer","NorESM1-M","gam"
NA,"WINv","ORC","summer","NorESM1-M","gam"
NA,"WIN","ORC","summer","NorESM1-M","gam"
NA,"CURu","ORC","summer","NorESM1-M","gam"
NA,"CURv","ORC","summer","NorESM1-M","gam"
NA,"SST","ORC","summer","NorESM1-M","gam"
NA,"SSH","ORC","summer","NorESM1-M","gam"
NA,"SSHg","ORC","summer","NorESM1-M","gam"
NA,"SSTg","ORC","summer","NorESM1-M","gam"
NA,"CUR","ORC","summer","NorESM1-M","gam"
NA,"DEP","ORC","summer","NorESM1-M","gam"
