"Overall","variable","sp","climate","season","method"
0,"ICE","ORC","ACCESS1-0","winter","rf"
2.05782864988601,"SST","ORC","ACCESS1-0","winter","rf"
4.24149321752242,"SSTg","ORC","ACCESS1-0","winter","rf"
2.19578166273094,"WINu","ORC","ACCESS1-0","winter","rf"
1.71552252772601,"WINv","ORC","ACCESS1-0","winter","rf"
21.6920708005047,"CURu","ORC","ACCESS1-0","winter","rf"
3.79674417551699,"CURv","ORC","ACCESS1-0","winter","rf"
3.01933084298103,"SSH","ORC","ACCESS1-0","winter","rf"
9.849756359385,"SSHg","ORC","ACCESS1-0","winter","rf"
100,"DEP","ORC","ACCESS1-0","winter","rf"
