"Overall","variable","sp","climate","season","method"
0,"ICE","ORC","BCC-CSM1.1","winter","rf"
2.65912333434161,"SST","ORC","BCC-CSM1.1","winter","rf"
6.81236331603284,"SSTg","ORC","BCC-CSM1.1","winter","rf"
5.14480708618623,"WINu","ORC","BCC-CSM1.1","winter","rf"
2.09328186353154,"WINv","ORC","BCC-CSM1.1","winter","rf"
35.1384605834521,"CURu","ORC","BCC-CSM1.1","winter","rf"
5.97229797255117,"CURv","ORC","BCC-CSM1.1","winter","rf"
7.36800479671933,"SSH","ORC","BCC-CSM1.1","winter","rf"
16.8171161713281,"SSHg","ORC","BCC-CSM1.1","winter","rf"
100,"DEP","ORC","BCC-CSM1.1","winter","rf"
