"Overall","variable","sp","climate","season","method"
0,"ICE","ORC","CanESM2","winter","rf"
1.67407912845042,"SST","ORC","CanESM2","winter","rf"
7.96040031420868,"SSTg","ORC","CanESM2","winter","rf"
3.71969623652173,"WINu","ORC","CanESM2","winter","rf"
2.19361135077001,"WINv","ORC","CanESM2","winter","rf"
3.41544252547242,"CURu","ORC","CanESM2","winter","rf"
8.29581537925474,"CURv","ORC","CanESM2","winter","rf"
6.47607631030359,"SSH","ORC","CanESM2","winter","rf"
3.19099264981454,"SSHg","ORC","CanESM2","winter","rf"
100,"DEP","ORC","CanESM2","winter","rf"
