"Overall","variable","sp","climate","season","method"
0,"ICE","ORC","NorESM1-M","winter","gbm"
1.17548158659769,"SST","ORC","NorESM1-M","winter","gbm"
3.73085847679015,"SSTg","ORC","NorESM1-M","winter","gbm"
0.157507084153534,"WIN","ORC","NorESM1-M","winter","gbm"
0.641191114189928,"WINu","ORC","NorESM1-M","winter","gbm"
0.60245321502539,"WINv","ORC","NorESM1-M","winter","gbm"
3.24798127015764,"CUR","ORC","NorESM1-M","winter","gbm"
2.5905997892602,"CURu","ORC","NorESM1-M","winter","gbm"
1.5125152880269,"CURv","ORC","NorESM1-M","winter","gbm"
0.596330390381671,"SSH","ORC","NorESM1-M","winter","gbm"
1.18112012348865,"SSHg","ORC","NorESM1-M","winter","gbm"
100,"DEP","ORC","NorESM1-M","winter","gbm"
