"Overall","variable","sp","season","climate","method"
NA,"WINu","SES","summer","ACCESS1-0","gam"
NA,"WINv","SES","summer","ACCESS1-0","gam"
NA,"WIN","SES","summer","ACCESS1-0","gam"
NA,"CURu","SES","summer","ACCESS1-0","gam"
NA,"CURv","SES","summer","ACCESS1-0","gam"
NA,"CUR","SES","summer","ACCESS1-0","gam"
NA,"SST","SES","summer","ACCESS1-0","gam"
NA,"SSH","SES","summer","ACCESS1-0","gam"
NA,"SSHg","SES","summer","ACCESS1-0","gam"
NA,"SSTg","SES","summer","ACCESS1-0","gam"
NA,"DEP","SES","summer","ACCESS1-0","gam"
