"Overall","variable","sp","season","climate","method"
NA,"WINu","SES","summer","BCC-CSM1.1","gam"
NA,"WINv","SES","summer","BCC-CSM1.1","gam"
NA,"WIN","SES","summer","BCC-CSM1.1","gam"
NA,"SST","SES","summer","BCC-CSM1.1","gam"
NA,"SSH","SES","summer","BCC-CSM1.1","gam"
NA,"SSHg","SES","summer","BCC-CSM1.1","gam"
NA,"SSTg","SES","summer","BCC-CSM1.1","gam"
NA,"CURu","SES","summer","BCC-CSM1.1","gam"
NA,"CURv","SES","summer","BCC-CSM1.1","gam"
NA,"CUR","SES","summer","BCC-CSM1.1","gam"
NA,"DEP","SES","summer","BCC-CSM1.1","gam"
