"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SES","summer","EC-EARTH","svm"
94.8085750468287,94.8085750468287,"SST","SES","summer","EC-EARTH","svm"
5.52089091857761,5.52089091857761,"WINu","SES","summer","EC-EARTH","svm"
12.598895884149,12.598895884149,"WINv","SES","summer","EC-EARTH","svm"
5.05194264445799,5.05194264445799,"WIN","SES","summer","EC-EARTH","svm"
19.0937505291994,19.0937505291994,"CURu","SES","summer","EC-EARTH","svm"
6.84522180111352,6.84522180111352,"CURv","SES","summer","EC-EARTH","svm"
14.6533768022604,14.6533768022604,"CUR","SES","summer","EC-EARTH","svm"
100,100,"SSH","SES","summer","EC-EARTH","svm"
28.3735329974342,28.3735329974342,"SSHg","SES","summer","EC-EARTH","svm"
51.4267355718194,51.4267355718194,"SSTg","SES","summer","EC-EARTH","svm"
51.6511452411529,51.6511452411529,"DEP","SES","summer","EC-EARTH","svm"
