"Overall","variable","sp","climate","season","method"
0,"ICE","SES","GISS-E2-H-CC","summer","gbm"
100,"SST","SES","GISS-E2-H-CC","summer","gbm"
51.1823635890191,"SSTg","SES","GISS-E2-H-CC","summer","gbm"
29.8395421205581,"WIN","SES","GISS-E2-H-CC","summer","gbm"
12.0016240229599,"WINu","SES","GISS-E2-H-CC","summer","gbm"
49.276003904934,"WINv","SES","GISS-E2-H-CC","summer","gbm"
2.5394156656613,"CUR","SES","GISS-E2-H-CC","summer","gbm"
51.0723936856281,"CURu","SES","GISS-E2-H-CC","summer","gbm"
26.4173181536334,"CURv","SES","GISS-E2-H-CC","summer","gbm"
48.0948404778077,"DEP","SES","GISS-E2-H-CC","summer","gbm"
