"Overall","variable","sp","season","climate","method"
22.0749324043863,"ICE","SES","summer","MIROC-ESM","ann"
76.2739853164875,"SST","SES","summer","MIROC-ESM","ann"
51.5006429264209,"WINu","SES","summer","MIROC-ESM","ann"
63.1045649629778,"WINv","SES","summer","MIROC-ESM","ann"
51.8497744344958,"WIN","SES","summer","MIROC-ESM","ann"
11.6577897123774,"CURu","SES","summer","MIROC-ESM","ann"
0,"CURv","SES","summer","MIROC-ESM","ann"
14.4318460327265,"CUR","SES","summer","MIROC-ESM","ann"
16.7849321029048,"SSH","SES","summer","MIROC-ESM","ann"
3.11335227969393,"SSHg","SES","summer","MIROC-ESM","ann"
9.99540075567398,"SSTg","SES","summer","MIROC-ESM","ann"
100,"DEP","SES","summer","MIROC-ESM","ann"
