"Overall","variable","sp","season","climate","method"
0,"ICE","SES","summer","NorESM1-M","ann"
52.7177593702407,"SST","SES","summer","NorESM1-M","ann"
45.7747869130514,"WINu","SES","summer","NorESM1-M","ann"
50.2384682868317,"WINv","SES","summer","NorESM1-M","ann"
22.5080815453632,"WIN","SES","summer","NorESM1-M","ann"
21.5038833819125,"CURu","SES","summer","NorESM1-M","ann"
5.14393112088739,"CURv","SES","summer","NorESM1-M","ann"
8.33038199660611,"CUR","SES","summer","NorESM1-M","ann"
5.67797495320219,"SSH","SES","summer","NorESM1-M","ann"
10.426300507239,"SSHg","SES","summer","NorESM1-M","ann"
20.868459164627,"SSTg","SES","summer","NorESM1-M","ann"
100,"DEP","SES","summer","NorESM1-M","ann"
