"Overall","variable","sp","climate","season","method"
59.9165290434714,"ICE","SES","NorESM1-M","summer","rf"
58.4702573169873,"SST","SES","NorESM1-M","summer","rf"
0,"SSTg","SES","NorESM1-M","summer","rf"
57.2238148967841,"WINu","SES","NorESM1-M","summer","rf"
38.8234268759455,"WINv","SES","NorESM1-M","summer","rf"
29.9992275993461,"CURu","SES","NorESM1-M","summer","rf"
19.6473825180796,"CURv","SES","NorESM1-M","summer","rf"
76.7976634226806,"SSH","SES","NorESM1-M","summer","rf"
34.7539825196156,"SSHg","SES","NorESM1-M","summer","rf"
100,"DEP","SES","NorESM1-M","summer","rf"
