"Overall","variable","sp","season","climate","method"
NA,"DEP","SES","winter","ACCESS1-0","gam"
NA,"WINu","SES","winter","ACCESS1-0","gam"
NA,"WINv","SES","winter","ACCESS1-0","gam"
NA,"WIN","SES","winter","ACCESS1-0","gam"
NA,"SST","SES","winter","ACCESS1-0","gam"
NA,"SSH","SES","winter","ACCESS1-0","gam"
NA,"SSHg","SES","winter","ACCESS1-0","gam"
NA,"SSTg","SES","winter","ACCESS1-0","gam"
NA,"CUR","SES","winter","ACCESS1-0","gam"
NA,"CURu","SES","winter","ACCESS1-0","gam"
NA,"CURv","SES","winter","ACCESS1-0","gam"
