"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SES","winter","ACCESS1-0","svm"
74.9543375299454,74.9543375299454,"SST","SES","winter","ACCESS1-0","svm"
17.6967589867291,17.6967589867291,"WINu","SES","winter","ACCESS1-0","svm"
42.5960448084088,42.5960448084088,"WINv","SES","winter","ACCESS1-0","svm"
16.0148729891263,16.0148729891263,"WIN","SES","winter","ACCESS1-0","svm"
17.8255876420741,17.8255876420741,"CURu","SES","winter","ACCESS1-0","svm"
52.0221992646858,52.0221992646858,"CURv","SES","winter","ACCESS1-0","svm"
8.11663765597634,8.11663765597634,"CUR","SES","winter","ACCESS1-0","svm"
65.3687549149414,65.3687549149414,"SSH","SES","winter","ACCESS1-0","svm"
25.6462315661907,25.6462315661907,"SSHg","SES","winter","ACCESS1-0","svm"
46.5365931043724,46.5365931043724,"SSTg","SES","winter","ACCESS1-0","svm"
100,100,"DEP","SES","winter","ACCESS1-0","svm"
