"Overall","variable","sp","climate","season","method"
0,"ICE","SES","BCC-CSM1.1","winter","rf"
52.6243534702308,"SST","SES","BCC-CSM1.1","winter","rf"
52.7790963471629,"SSTg","SES","BCC-CSM1.1","winter","rf"
43.1938411354521,"WINu","SES","BCC-CSM1.1","winter","rf"
30.504260432554,"WINv","SES","BCC-CSM1.1","winter","rf"
59.9050377937373,"CURu","SES","BCC-CSM1.1","winter","rf"
49.6788573113994,"CURv","SES","BCC-CSM1.1","winter","rf"
70.3086469103053,"SSH","SES","BCC-CSM1.1","winter","rf"
63.2892590919514,"SSHg","SES","BCC-CSM1.1","winter","rf"
100,"DEP","SES","BCC-CSM1.1","winter","rf"
