"Overall","variable","sp","season","climate","method"
16.897578807039,"ICE","SES","winter","CMCC-CM","ann"
98.5199445591541,"SST","SES","winter","CMCC-CM","ann"
88.2943639949408,"WINu","SES","winter","CMCC-CM","ann"
16.1630854274998,"WINv","SES","winter","CMCC-CM","ann"
82.8085637837708,"WIN","SES","winter","CMCC-CM","ann"
40.9096688946062,"CURu","SES","winter","CMCC-CM","ann"
22.1357981314343,"CURv","SES","winter","CMCC-CM","ann"
26.3911248377007,"CUR","SES","winter","CMCC-CM","ann"
96.0097840122729,"SSH","SES","winter","CMCC-CM","ann"
0,"SSHg","SES","winter","CMCC-CM","ann"
18.2393714914595,"SSTg","SES","winter","CMCC-CM","ann"
100,"DEP","SES","winter","CMCC-CM","ann"
