"Overall","variable","sp","season","climate","method"
0,"ICE","SES","winter","EC-EARTH","gbm"
37.8136980532606,"SST","SES","winter","EC-EARTH","gbm"
26.760316597944,"WINu","SES","winter","EC-EARTH","gbm"
43.4977589520605,"WINv","SES","winter","EC-EARTH","gbm"
21.8361755912265,"WIN","SES","winter","EC-EARTH","gbm"
18.4352161224001,"CURu","SES","winter","EC-EARTH","gbm"
31.7824668611343,"CURv","SES","winter","EC-EARTH","gbm"
19.9716834667721,"CUR","SES","winter","EC-EARTH","gbm"
43.5794384256202,"SSH","SES","winter","EC-EARTH","gbm"
32.390507408529,"SSHg","SES","winter","EC-EARTH","gbm"
35.0952304040391,"SSTg","SES","winter","EC-EARTH","gbm"
100,"DEP","SES","winter","EC-EARTH","gbm"
