"Overall","variable","sp","climate","season","method"
0,"ICE","SES","EC-EARTH","winter","rf"
56.6426927435968,"SST","SES","EC-EARTH","winter","rf"
48.6348618815858,"SSTg","SES","EC-EARTH","winter","rf"
45.788309557467,"WINu","SES","EC-EARTH","winter","rf"
45.7141144469296,"WINv","SES","EC-EARTH","winter","rf"
39.9199340183244,"CURu","SES","EC-EARTH","winter","rf"
38.1997215795993,"CURv","SES","EC-EARTH","winter","rf"
61.7530950096291,"SSH","SES","EC-EARTH","winter","rf"
44.3951268762954,"SSHg","SES","EC-EARTH","winter","rf"
100,"DEP","SES","EC-EARTH","winter","rf"
