"Overall","variable","sp","season","climate","method"
0,"ICE","SES","winter","GISS-E2-H-CC","gbm"
41.9558082072605,"SST","SES","winter","GISS-E2-H-CC","gbm"
30.2846311948986,"WINu","SES","winter","GISS-E2-H-CC","gbm"
28.9420156635545,"WINv","SES","winter","GISS-E2-H-CC","gbm"
19.6909512038368,"WIN","SES","winter","GISS-E2-H-CC","gbm"
35.0478867457951,"CURu","SES","winter","GISS-E2-H-CC","gbm"
37.5492388989973,"CURv","SES","winter","GISS-E2-H-CC","gbm"
24.051015549434,"CUR","SES","winter","GISS-E2-H-CC","gbm"
35.2564893421558,"SSTg","SES","winter","GISS-E2-H-CC","gbm"
100,"DEP","SES","winter","GISS-E2-H-CC","gbm"
