"Overall","variable","sp","season","climate","method"
0,"ICE","SES","winter","MIROC-ESM","gbm"
38.7207058889255,"SST","SES","winter","MIROC-ESM","gbm"
18.9586354297763,"WINu","SES","winter","MIROC-ESM","gbm"
28.5796747162042,"WINv","SES","winter","MIROC-ESM","gbm"
19.0696211487808,"WIN","SES","winter","MIROC-ESM","gbm"
19.6298488303028,"CURu","SES","winter","MIROC-ESM","gbm"
48.0817550646848,"CURv","SES","winter","MIROC-ESM","gbm"
22.4176383443222,"CUR","SES","winter","MIROC-ESM","gbm"
47.7876423316497,"SSH","SES","winter","MIROC-ESM","gbm"
43.559020899892,"SSHg","SES","winter","MIROC-ESM","gbm"
39.7412926825004,"SSTg","SES","winter","MIROC-ESM","gbm"
100,"DEP","SES","winter","MIROC-ESM","gbm"
