"Overall","variable","sp","climate","season","method"
0,"ICE","SFS","ACCESS1-0","summer","gbm"
78.1869056820792,"SST","SFS","ACCESS1-0","summer","gbm"
34.4237641820736,"SSTg","SFS","ACCESS1-0","summer","gbm"
26.5435868348815,"WIN","SFS","ACCESS1-0","summer","gbm"
16.4503073543634,"WINu","SFS","ACCESS1-0","summer","gbm"
14.8940081080476,"WINv","SFS","ACCESS1-0","summer","gbm"
22.5510358093725,"CUR","SFS","ACCESS1-0","summer","gbm"
6.56980573495068,"CURu","SFS","ACCESS1-0","summer","gbm"
100,"CURv","SFS","ACCESS1-0","summer","gbm"
27.6471575820748,"SSH","SFS","ACCESS1-0","summer","gbm"
37.3898483260121,"SSHg","SFS","ACCESS1-0","summer","gbm"
19.3567439850586,"DEP","SFS","ACCESS1-0","summer","gbm"
