"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SFS","summer","ACCESS1-0","svm"
69.765298426295,69.765298426295,"SST","SFS","summer","ACCESS1-0","svm"
79.1190727441581,79.1190727441581,"WINu","SFS","summer","ACCESS1-0","svm"
68.6715009147118,68.6715009147118,"WINv","SFS","summer","ACCESS1-0","svm"
77.2795056862232,77.2795056862232,"WIN","SFS","summer","ACCESS1-0","svm"
36.4952463215605,36.4952463215605,"CURu","SFS","summer","ACCESS1-0","svm"
64.3238648974719,64.3238648974719,"CURv","SFS","summer","ACCESS1-0","svm"
6.27610918523312,6.27610918523312,"CUR","SFS","summer","ACCESS1-0","svm"
100,100,"SSH","SFS","summer","ACCESS1-0","svm"
53.2196860617445,53.2196860617445,"SSHg","SFS","summer","ACCESS1-0","svm"
27.4670042379218,27.4670042379218,"SSTg","SFS","summer","ACCESS1-0","svm"
38.2899058574931,38.2899058574931,"DEP","SFS","summer","ACCESS1-0","svm"
