"Overall","variable","sp","season","climate","method"
19.4530081716236,"ICE","SFS","summer","BCC-CSM1.1","ann"
54.46995819028,"SST","SFS","summer","BCC-CSM1.1","ann"
29.6851605746522,"WINu","SFS","summer","BCC-CSM1.1","ann"
100,"WINv","SFS","summer","BCC-CSM1.1","ann"
59.4952639525787,"WIN","SFS","summer","BCC-CSM1.1","ann"
0,"CURu","SFS","summer","BCC-CSM1.1","ann"
9.51757082319982,"CURv","SFS","summer","BCC-CSM1.1","ann"
13.6947410719238,"CUR","SFS","summer","BCC-CSM1.1","ann"
21.7930823117669,"SSH","SFS","summer","BCC-CSM1.1","ann"
26.7853811303067,"SSHg","SFS","summer","BCC-CSM1.1","ann"
13.7195867120687,"SSTg","SFS","summer","BCC-CSM1.1","ann"
28.9497843111262,"DEP","SFS","summer","BCC-CSM1.1","ann"
