"Overall","variable","sp","climate","season","method"
0,"ICE","SFS","CanESM2","summer","gbm"
62.4313211638393,"SST","SFS","CanESM2","summer","gbm"
12.2722121223344,"SSTg","SFS","CanESM2","summer","gbm"
9.5312471264806,"WIN","SFS","CanESM2","summer","gbm"
6.93998914964331,"WINu","SFS","CanESM2","summer","gbm"
5.07519046708122,"WINv","SFS","CanESM2","summer","gbm"
12.2532145006534,"CUR","SFS","CanESM2","summer","gbm"
21.0936906503512,"CURu","SFS","CanESM2","summer","gbm"
78.5948898776061,"CURv","SFS","CanESM2","summer","gbm"
100,"SSH","SFS","CanESM2","summer","gbm"
74.6843702732555,"SSHg","SFS","CanESM2","summer","gbm"
27.8183500330612,"DEP","SFS","CanESM2","summer","gbm"
