"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SFS","summer","GISS-E2-H-CC","svm"
93.1103966362943,93.1103966362943,"SST","SFS","summer","GISS-E2-H-CC","svm"
100,100,"WINu","SFS","summer","GISS-E2-H-CC","svm"
66.3112054154435,66.3112054154435,"WINv","SFS","summer","GISS-E2-H-CC","svm"
99.5119739496456,99.5119739496456,"WIN","SFS","summer","GISS-E2-H-CC","svm"
13.4364738461996,13.4364738461996,"CURu","SFS","summer","GISS-E2-H-CC","svm"
0.889400948136192,0.889400948136192,"CURv","SFS","summer","GISS-E2-H-CC","svm"
13.8038537153361,13.8038537153361,"CUR","SFS","summer","GISS-E2-H-CC","svm"
33.5666007547727,33.5666007547727,"SSTg","SFS","summer","GISS-E2-H-CC","svm"
43.3206425861184,43.3206425861184,"DEP","SFS","summer","GISS-E2-H-CC","svm"
