"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SFS","summer","MIROC-ESM","svm"
70.0194793729508,70.0194793729508,"SST","SFS","summer","MIROC-ESM","svm"
26.4081425084946,26.4081425084946,"WINu","SFS","summer","MIROC-ESM","svm"
16.0867005316988,16.0867005316988,"WINv","SFS","summer","MIROC-ESM","svm"
26.1169635630204,26.1169635630204,"WIN","SFS","summer","MIROC-ESM","svm"
1.95471600593569,1.95471600593569,"CURu","SFS","summer","MIROC-ESM","svm"
7.73442748370138,7.73442748370138,"CURv","SFS","summer","MIROC-ESM","svm"
7.433410920146,7.433410920146,"CUR","SFS","summer","MIROC-ESM","svm"
100,100,"SSH","SFS","summer","MIROC-ESM","svm"
7.20429676734221,7.20429676734221,"SSHg","SFS","summer","MIROC-ESM","svm"
9.48358719501554,9.48358719501554,"SSTg","SFS","summer","MIROC-ESM","svm"
38.3645234383339,38.3645234383339,"DEP","SFS","summer","MIROC-ESM","svm"
