"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","SFS","summer","NorESM1-M","svm"
70.9271994381194,70.9271994381194,"SST","SFS","summer","NorESM1-M","svm"
66.1972160933349,66.1972160933349,"WINu","SFS","summer","NorESM1-M","svm"
100,100,"WINv","SFS","summer","NorESM1-M","svm"
66.8529423719898,66.8529423719898,"WIN","SFS","summer","NorESM1-M","svm"
50.2127539994306,50.2127539994306,"CURu","SFS","summer","NorESM1-M","svm"
2.32355967236174,2.32355967236174,"CURv","SFS","summer","NorESM1-M","svm"
30.332317717524,30.332317717524,"CUR","SFS","summer","NorESM1-M","svm"
82.963038184106,82.963038184106,"SSH","SFS","summer","NorESM1-M","svm"
6.47511416481045,6.47511416481045,"SSHg","SFS","summer","NorESM1-M","svm"
84.1513998448279,84.1513998448279,"SSTg","SFS","summer","NorESM1-M","svm"
44.134031403405,44.134031403405,"DEP","SFS","summer","NorESM1-M","svm"
